Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
WaferTech LLC - Camas,2017,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,112737,0,14080,7,7737,11232,35881,22424,21376,,3,"(45.619569, -122.454955)",POINT (-122.454955 45.619569)
Northwest Pipeline C/S - Chehalis,2012,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,13030,0,11310,1714,6,0,0,0,0,,1,"(46.533325, -122.87373)",POINT (-122.87373000000001 46.533325)
"WestRock CP, LLC - Tacoma",2019,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Tacoma,Pierce,Ecology: Industrial Section,1087848,958705,123204,1074,4865,0,0,0,0,,4,"(47.260953, -122.421765)",POINT (-122.421765 47.260953)
Ash Grove Cement Company - Seattle,2013,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,354808,0,354350,294,163,0,0,0,0,,3,"(47.56799, -122.34255)",POINT (-122.34255 47.56799)
Air Liquide Hydrogen Plant  - Anacortes,2017,Chemicals,Hydrogen Production,325120,Industrial Gas Manufacturing,Air Liquide USA Inc.,Anacortes,Skagit,Northwest Clean Air Agency,63461,0,63461,0,0,0,0,0,0,,2,"(48.465617, -122.556032)",POINT (-122.55603199999999 48.465617)
Georgia-Pacific Gypsum LLC - Tacoma,2019,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,49200,0,49149,23,28,0,0,0,0,,2,"(47.269558, -122.394869)",POINT (-122.39486900000001 47.269558)
Northwest Hardwoods Inc. - Centralia,2016,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,10483,6759,3631,15,79,0,0,0,0,,1,"(46.734454, -122.991963)",POINT (-122.99196300000001 46.734454)
Lamb Weston - Quincy,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,34928,0,34892,17,20,0,0,0,0,,2,"(47.234413, -119.869914)",POINT (-119.869914 47.234413)
"UPS Fuel Services, Inc.",2017,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",,,,34518,0,34518,,,,,,,,,,
Albina Fuel Co,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Albina Fuel Co,,,,32794,0,32794,,,,,,,,,,
"IPC (USA), Inc.",2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ITOCHU Corporation,,,,14772,14,14758,,,,,,,,,,
River Road Generating Plant - Vancouver,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Clark Public Utilities,Vancouver,Clark,Southwest Clean Air Agency,708077,0,707359,328,391,0,0,0,0,,3,"(45.64958, -122.724806)",POINT (-122.724806 45.64958)
Ash Grove Cement Company - Seattle,2014,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,522982,0,522274,517,191,0,0,0,0,,3,"(47.56799, -122.34255)",POINT (-122.34255 47.56799)
Starbucks Kent Flexible Plant - Kent,2019,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,13175,0,13161,6,7,0,0,0,0,,1,"(47.436276, -122.237648)",POINT (-122.237648 47.436276)
Boeing Commercial Airplanes - Fabrication (Frederickson Site) - Puyallup,2015,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,20833,0,20812,10,12,0,0,0,0,,1,"(47.088831, -122.34862)",POINT (-122.34862000000001 47.088831)
Shell Puget Sound Refinery - Anacortes,2016,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Shell Petroleum Inc.,Anacortes,Skagit,Northwest Clean Air Agency,1980471,0,1969220,6844,4407,0,0,0,0,,4,"(48.470931, -122.559161)",POINT (-122.559161 48.470931)
PacifiCorp Energy - Chehalis Generation Facility - Chehalis,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,371646,0,371268,172,205,0,0,0,0,,3,"(46.6226, -122.9145)",POINT (-122.91449999999999 46.6226)
Hidden Valley Landfill - Puyallup,2012,Waste,Municipal Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Puyallup,Pierce,Puget Sound Clean Air Agency,7203,0,0,7203,0,0,0,0,0,Voluntary reporter.,1,"(47.095, -122.2878)",POINT (-122.2878 47.095)
The Boeing Company,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,336411,Aircraft Manufacturing,The Boeing Company,,,,105442,0,105442,,,,,,,,,,
Avfuel Corporation,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,CRS Acquisition,,,,75236,0,75236,,,,,,,,,,
