Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Guy Bennett Lumber Company - Clarkston,2018,Wood Products,Lumber Mills,321113,Sawmills,Bennett Lumber Products Inc.,Clarkston,Whitman,Ecology: Eastern Regional Office,15574,15240,0,130,203,0,0,0,0,,1,"(46.423108, -117.086487)",POINT (-117.08648699999999 46.423108)
Kettle Falls Generating Station - Kettle Falls,2018,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,485614,465883,5504,8896,5331,0,0,0,0,,3,"(48.620335, -118.110841)",POINT (-118.110841 48.620335)
Cascade Natural Gas Corporation LDC - statewide,2012,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,,,,12622,0,20,12602,0,0,0,0,0,,1,,
Boeing Commercial Airplanes - Fabrication (Frederickson Site) - Puyallup,2014,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,21442,0,21420,10,12,0,0,0,0,,1,"(47.088831, -122.34862)",POINT (-122.34862000000001 47.088831)
Puget Sound Energy - Sumas Generating Station - Sumas,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Sumas,Whatcom,Northwest Clean Air Agency,125472,0,125345,58,69,0,0,0,0,,3,"(48.9905, -122.2733)",POINT (-122.27329999999999 48.9905)
University of Washington Seattle Campus - Seattle,2019,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,92272,0,92177,44,52,0,0,0,0,,2,"(47.653614, -122.303608)",POINT (-122.303608 47.653614)
Inland Empire Paper Company - Spokane,2019,Pulp and Paper,TMP Mills,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,31037,17639,13149,40,209,0,0,0,0,,2,"(47.688295, -117.279323)",POINT (-117.279323 47.688295)
PetroCard Inc.,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),BBI,,,,983091,29659,953432,,,,,,,,,,
NW Natural LDC - WA - statewide,2016,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,,,7984,0,10,7974,0,0,0,0,0,,1,,
Lamb Weston - Pasco,2018,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,43648,0,43603,21,24,0,0,0,0,,2,"(46.288137, -119.115336)",POINT (-119.115336 46.288137)
Puget Sound Energy LDC - statewide,2014,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Sound Energy,,,,60382,0,73,60309,0,0,0,0,0,,2,,
Michelsen Packaging - Yakima,2016,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,8817,0,8808,4,5,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
Cowlitz County Headquarters Landfill - Castle Rock,2017,Waste,Municipal Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,218522,11096,0,207386,40,0,0,0,0,,3,"(46.246902, -122.772284)",POINT (-122.772284 46.246902)
"North Pacific Paper Company, LLC - Longview",2018,Pulp and Paper,TMP Mills,322122,Newsprint Mills,NP Paper Investor Holdings LLC,Longview,Cowlitz,Southwest Clean Air Agency,37345,0,37306,18,21,0,0,0,0,Formerly part of Nippon Dynawave before 2016.,2,"(46.125662, -122.976788)",POINT (-122.976788 46.125662)
Puget Sound Energy - Encogen Generating Station - Bellingham,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Bellingham,Whatcom,Northwest Clean Air Agency,191710,0,191515,89,106,0,0,0,0,,3,"(48.746, -122.486)",POINT (-122.486 48.74600000000001)
Alon Asphalt Company - Seattle,2017,Petroleum and Natural Gas Systems,Other Petroleum and Natural Gas Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Alon USA LP,Seattle,King,Puget Sound Clean Air Agency,14818,0,14782,29,8,0,0,0,0,,1,"(47.781642, -122.395299)",POINT (-122.39529900000001 47.781642)
Marathon Anacortes Refinery - Anacortes,2018,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1233329,0,1228196,1951,3181,0,0,0,0,,4,"(48.493816, -122.564845)",POINT (-122.564845 48.493816)
The Boeing Company: DC/MFC - Tukwila,2017,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Tukwila,King,Puget Sound Clean Air Agency,15437,0,15421,7,9,0,0,0,0,,1,"(47.516246, -122.298613)",POINT (-122.29861300000002 47.516246)
Northwest Pipeline C/S - Goldendale,2015,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,12873,0,10588,2280,6,0,0,0,0,,1,"(45.771216, -120.799267)",POINT (-120.799267 45.771216)
Naval Base Kitsap - Bremerton,2015,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,42287,0,42241,21,26,0,0,0,0,,2,"(47.557047, -122.645933)",POINT (-122.645933 47.557047)
Hampton Lumber Mills Washington Inc. - Randle,2017,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,64712,63859,0,123,730,0,0,0,0,,2,"(46.533743, -121.917906)",POINT (-121.91790600000002 46.533743)
Hampton Lumber Mills Washington Inc. - Morton,2018,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,36719,36233,2,70,415,0,0,0,0,,2,"(46.565997, -122.269573)",POINT (-122.269573 46.565997)
Georgia-Pacific Consumer Products LLC - Camas,2014,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,658085,488880,156901,10539,1765,0,0,0,0,,3,"(45.584271, -122.40843)",POINT (-122.40843 45.584271)
Naval Base Kitsap - Bremerton,2019,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,45128,0,45081,22,26,0,0,0,0,,2,"(47.557047, -122.645933)",POINT (-122.645933 47.557047)
Southern Counties Oil Co Ltd,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Southern Counties Oil Co., A California LP",,,,96845,4022,92823,,,,,,,,,,
Matheson - Anacortes,2019,Chemicals,Hydrogen Production,325120,Industrial Gas Manufacturing,Linde Gas North America LLC,Anacortes,Skagit,Northwest Clean Air Agency,41846,0,41846,0,0,0,0,0,0,,2,"(48.467646, -122.554343)",POINT (-122.554343 48.467646)
Alcoa Wenatchee Works - Malaga,2018,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Malaga,Chelan,Ecology: Industrial Section,0,0,0,0,0,0,0,0,0,Last year reporting.  Facility curtailed.,1,"(47.3567, -120.1273)",POINT (-120.12730000000002 47.3567)
Washington State University - Pullman,2014,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,59384,0,59321,28,35,0,0,0,0,,2,"(46.728702, -117.151481)",POINT (-117.15148099999999 46.728702)
Darigold - Chehalis,2015,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Chehalis,Lewis,Southwest Clean Air Agency,14732,0,14718,7,8,0,0,0,0,,1,"(46.659952, -122.970162)",POINT (-122.97016200000002 46.659952)
J.R. Simplot Company - Othello,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,OTHELLO,Adams,Ecology: Eastern Regional Office,92473,0,49806,42639,28,0,0,0,0,,2,"(46.837778, -119.176389)",POINT (-119.17638900000001 46.837778)
"World Fuel Services, Inc.",2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Corp",,,,255971,58,255913,,,,,,,,,,
Sonoco Products - Sumner,2019,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,11611,0,11599,6,7,0,0,0,0,,1,"(47.210641, -122.239474)",POINT (-122.23947400000002 47.210641)
"UPS Fuel Services, Inc.",2012,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",,,,31398,0,31398,,,,,,,,,,
Lamb Weston - Richland,2013,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,34225,0,34190,16,19,0,0,0,0,,2,"(46.309314, -119.297267)",POINT (-119.29726700000002 46.309314)
Lamb Weston - Warden,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Warden,Grant,Ecology: Eastern Regional Office,18099,0,18081,9,10,0,0,0,0,,1,"(46.971504, -119.055427)",POINT (-119.05542700000001 46.971504)
REC Solar Grade Silicon - Moses Lake,2018,Metals,Other Metals,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,72253,0,72179,34,41,0,0,0,0,,2,"(47.138359, -119.200383)",POINT (-119.200383 47.138359)
Puget Sound Energy T&D - statewide,2014,Power Plants,Use of Electrical Equipment,221122,Electric Power Distribution,Puget Sound Energy,Bellevue,,,1664,0,0,0,0,0,0,1664,0,,1,,
Kettle Falls Generating Station - Kettle Falls,2016,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,481711,464930,2590,8872,5319,0,0,0,0,,3,"(48.620335, -118.110841)",POINT (-118.110841 48.620335)
Northwest Pipeline C/S - Snohomish,2016,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,62759,0,61023,1701,34,0,0,0,0,,2,"(47.78825, -122.05859)",POINT (-122.05858999999998 47.78825)
Hampton Lumber Mills Washington Inc. - Darrington,2013,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,96513,95241,0,183,1089,0,0,0,0,,2,"(48.262797, -121.597608)",POINT (-121.597608 48.262797)
The Boeing Company - Renton,2018,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,19764,0,19743,9,11,0,0,0,0,,1,"(47.498257, -122.211346)",POINT (-122.211346 47.498257)
Puget Sound Energy - Sumas Generating Station - Sumas,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Sumas,Whatcom,Northwest Clean Air Agency,131166,0,131033,61,72,0,0,0,0,,3,"(48.9905, -122.2733)",POINT (-122.27329999999999 48.9905)
Gas Transmission Northwest Compressor Station 8 - Wallula,2017,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,161511,0,118074,43371,66,0,0,0,0,,3,"(46.053153, -118.843934)",POINT (-118.84393399999999 46.053153)
The Boeing Company,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,336411,Aircraft Manufacturing,The Boeing Company,,,,129491,0,129491,,,,,,,,,,
"Emerald Kalama Chemical, LLC - Kalama",2019,Chemicals,Other Chemicals,325199,All Other Basic Organic Chemical Manufacturing,Emerald Performance Materials LLC,Kalama,Cowlitz,Southwest Clean Air Agency,76552,0,76478,32,42,0,0,0,0,,2,"(46.02191, -122.85698)",POINT (-122.85697999999998 46.02191)
Ardagh Glass Inc. - Seattle,2015,Minerals,Glass Production,327213,Glass Container Manufacturing,Ardagh Holdings USA Inc.,Seattle,King,Puget Sound Clean Air Agency,76674,0,76614,27,32,0,0,0,0,,2,"(47.55242, -122.33739)",POINT (-122.33739000000001 47.552420000000005)
Alon Asphalt Company - Seattle,2014,Petroleum and Natural Gas Systems,Other Petroleum and Natural Gas Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Alon USA LP,Seattle,King,Puget Sound Clean Air Agency,16004,0,15976,19,9,0,0,0,0,,1,"(47.781642, -122.395299)",POINT (-122.39529900000001 47.781642)
McKinley Paper Co. - Washington Mill - Port Angeles,2014,Pulp and Paper,TMP Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries Co Ltd,Port Angeles,Clallam,Olympic Region Clean Air Agency,148223,139332,2696,4595,1600,0,0,0,0,,3,"(48.134623, -123.467524)",POINT (-123.46752400000001 48.134623)
Sierra Pacific Industries - Burlington - Mount Vernon,2017,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,290046,282314,3958,544,3231,0,0,0,0,,3,"(48.448553, -122.434613)",POINT (-122.43461299999998 48.448553)
Ponderay Newsprint Company - Usk,2019,Pulp and Paper,TMP Mills,322122,Newsprint Mills,Ponderay Newsprint Company,Usk,Pend Oreille,Ecology: Eastern Regional Office,43797,39883,3368,81,466,0,0,0,0,,2,"(48.289771, -117.271359)",POINT (-117.27135900000002 48.289771)
Weyerhaeuser Raymond Lumber - Raymond,2015,Wood Products,Lumber Mills,321113,Sawmills,Weyerhaeuser Co.,Raymond,Pacific,Olympic Region Clean Air Agency,45228,44632,0,86,510,0,0,0,0,,2,"(46.688088, -123.737495)",POINT (-123.73749500000001 46.688088)
Northwest Pipeline C/S - Sumas,2017,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,96857,0,92864,3942,52,0,0,0,0,,2,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
Alon Asphalt Company - Seattle,2012,Petroleum and Natural Gas Systems,Other Petroleum and Natural Gas Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Alon USA LP,Seattle,King,Puget Sound Clean Air Agency,15138,0,15111,18,9,0,0,0,0,,1,"(47.781642, -122.395299)",POINT (-122.39529900000001 47.781642)
Elbow River Marketing USA Ltd.,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,412110,Petroleum and petroleum products merchant wholesalers,Parkland Fuel Corporation,,,,22543,0,22543,,,,,,,First year reporting.,,,
Gas Transmission Northwest Compressor Station 8 - Wallula,2015,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,111325,0,108440,2824,61,0,0,0,0,,3,"(46.053153, -118.843934)",POINT (-118.84393399999999 46.053153)
Darigold - Sunnyside,2016,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,31480,0,31448,15,17,0,0,0,0,,2,"(46.30058, -120.015675)",POINT (-120.01567500000002 46.30058)
Port Townsend Paper Corporation - Port Townsend,2016,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Port Townsend Paper Corp.,Port Townsend,Jefferson,Ecology: Industrial Section,489961,422794,64014,550,2603,0,0,0,0,,3,"(48.093793, -122.796806)",POINT (-122.79680600000002 48.093793)
Goodrich Corporation - Spokane,2014,Manufacturing,Transportation,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Goodrich Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,41089,0,41051,17,21,0,0,0,0,,2,"(47.583604, -117.568511)",POINT (-117.568511 47.583604)
Sierra Pacific Industries - Centralia,2014,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,45935,45330,0,87,519,0,0,0,0,,2,"(46.756413, -122.995433)",POINT (-122.99543300000002 46.756413)
Weyerhaeuser Raymond Lumber - Raymond,2012,Wood Products,Lumber Mills,321113,Sawmills,Weyerhaeuser Co.,Raymond,Pacific,Olympic Region Clean Air Agency,45768,44790,0,382,596,0,0,0,0,,2,"(46.688088, -123.737495)",POINT (-123.73749500000001 46.688088)
Frederickson Power LP - Tacoma,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Atlantic Power,Tacoma,Pierce,Puget Sound Clean Air Agency,330385,0,330050,153,182,0,0,0,0,,3,"(47.086342, -122.365686)",POINT (-122.36568599999998 47.086342)
Alcoa Intalco Works - Ferndale,2016,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1261364,0,376843,10069,33,0,874420,0,0,PFC emissions based on old source test information.,4,"(48.8455, -122.7055)",POINT (-122.70549999999999 48.8455)
TAC Energy,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Truman Arnold Companies,,,,113276,5889,107387,,,,,,,First year reporting.,,,
Northwest Pipeline C/S - Sumas,2012,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,70801,0,64130,6632,39,0,0,0,0,,2,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2013,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,56886,56136,0,108,642,0,0,0,0,,2,"(48.609799, -118.067441)",POINT (-118.06744099999999 48.609799)
"Horse Heaven Cattle Feeders, Inc. - Sunnyside",2014,Food Production,Cattle Feedlots,112112,Cattle Feedlots,"Horse Heaven Cattle Feeders, Inc.",Sunnyside,Yakima,Yakima Regional Clean Air Agency,8463,0,0,660,7803,0,0,0,0,,1,"(46.284622, -120.019668)",POINT (-120.019668 46.284622000000006)
CertainTeed Gypsum - Seattle,2015,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Saint-Gobain Corporation,Seattle,King,Puget Sound Clean Air Agency,38141,0,38101,18,21,0,0,0,0,,2,"(47.548056, -122.336944)",POINT (-122.336944 47.548056)
Bonneville Power Administration - WA Only - statewide,2012,Power Plants,Use of Electrical Equipment,221121,Electric Bulk Power Transmission and Control,US Government,,,,26927,0,0,0,0,0,0,26927,0,,2,,
Vitol Inc.,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Euromin Inc.,,,,466188,27546,438642,,,,,,,,,,
"Vaagen Bros. Lumber, Inc. - Colville",2016,Wood Products,Lumber Mills,321113,Sawmills,Vaagen Bros. Lumber Inc.,Colville,Stevens,Ecology: Eastern Regional Office,41269,40723,3,78,466,0,0,0,0,,2,"(48.548525, -117.915469)",POINT (-117.91546900000002 48.548525)
US Army Joint Base Lewis-McChord - Pierce Co.,2012,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,86478,0,62395,24037,46,0,0,0,0,,2,"(47.1142, -122.5365)",POINT (-122.53650000000002 47.1142)
Equilon Enterprises LLC dba Shell Oil Products US,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,SOPC HOLDINGS WEST LLC,,,,5985748,0,5985748,,,,,,,,,,
"UPS Fuel Services, Inc.",2013,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",,,,31599,0,31599,,,,,,,,,,
Sinclair Oil Corporation,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,,,,163446,0,163446,,,,,,,,,,
"Horse Heaven Cattle Feeders, Inc. - Sunnyside",2016,Food Production,Cattle Feedlots,112112,Cattle Feedlots,"Horse Heaven Cattle Feeders, Inc.",Sunnyside,Yakima,Yakima Regional Clean Air Agency,10949,0,0,845,10104,0,0,0,0,,1,"(46.284622, -120.019668)",POINT (-120.019668 46.284622000000006)
Northwest Pipeline C/S - Goldendale,2014,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,21139,0,14877,6254,8,0,0,0,0,,1,"(45.771216, -120.799267)",POINT (-120.799267 45.771216)
U.S. Oil & Refining Co. - Tacoma,2017,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,133427,0,132020,963,444,0,0,0,0,,3,"(47.256813, -122.394952)",POINT (-122.394952 47.256813)
Puget Sound Energy - Mint Farm Generating Station - Longview,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Longview,Cowlitz,Southwest Clean Air Agency,633493,0,632849,294,350,0,0,0,0,,3,"(46.140095, -122.985138)",POINT (-122.98513800000002 46.140095)
Boeing Commercial Airplanes - Fabrication (Frederickson Site) - Puyallup,2013,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,21969,0,21946,10,12,0,0,0,0,,1,"(47.088831, -122.34862)",POINT (-122.34862000000001 47.088831)
Easterday Ranches South Feedlot - Kennewick,2018,Food Production,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Kennewick,Benton,Benton Clean Air Agency,21475,0,2480,1473,17522,0,0,0,0,,1,"(45.991872, -119.136497)",POINT (-119.136497 45.991872)
US Army Joint Base Lewis-McChord - Pierce Co.,2018,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,84389,0,66731,17619,39,0,0,0,0,,2,"(47.1142, -122.5365)",POINT (-122.53650000000002 47.1142)
Land Recovery Landfill Industrial - Graham,2012,Waste,Municipal Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,4329,0,0,4329,0,0,0,0,0,,1,"(46.972405, -122.292799)",POINT (-122.292799 46.972405)
"IPC (USA), Inc.",2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ITOCHU Corporation,,,,321387,0,321387,,,,,,,,,,
Chevron U.S.A. Inc.,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Chevron U.S.A. Inc.,,,,3093693,190217,2903476,,,,,,,,,,
BP West Coast Products LLC,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,"BP Company North America, Inc",,,,6092051,0,6092051,,,,,,,,,,
Puget Sound Energy LDC - statewide,2016,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Sound Energy,,,,58711,0,73,58638,0,0,0,0,0,,2,,
Easterday Ranches South Feedlot - Kennewick,2015,Food Production,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Kennewick,Benton,Benton Clean Air Agency,21519,0,1990,1514,18015,0,0,0,0,,1,"(45.991872, -119.136497)",POINT (-119.136497 45.991872)
Darigold - Chehalis,2016,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Chehalis,Lewis,Southwest Clean Air Agency,12457,0,12445,6,7,0,0,0,0,,1,"(46.659952, -122.970162)",POINT (-122.97016200000002 46.659952)
Cosmo Specialty Fibers Inc - Cosmopolis,2015,Pulp and Paper,Sulfite Mills,322110,Pulp Mills,Gores Group,Cosmopolis,Grays Harbor,Ecology: Industrial Section,1170393,1144912,16976,5426,3079,0,0,0,0,,4,"(46.952907, -123.76211)",POINT (-123.76211 46.952907)
J.R. Simplot Company - Othello,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,OTHELLO,Adams,Ecology: Eastern Regional Office,93771,0,44371,49376,25,0,0,0,0,,2,"(46.837778, -119.176389)",POINT (-119.17638900000001 46.837778)
Chevron U.S.A. Inc.,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Chevron U.S.A. Inc.,,,,2728900,164554,2564346,,,,,,,,,,
Northwest Hardwoods Inc. - Centralia,2014,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,15486,10615,4725,23,124,0,0,0,0,,1,"(46.734454, -122.991963)",POINT (-122.99196300000001 46.734454)
Northwest Pipeline Roosevelt C/S - Bickleton,2012,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,21802,0,18518,3274,10,0,0,0,0,,1,"(45.849504, -120.08083)",POINT (-120.08083 45.849504)
Avfuel Corporation,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,CRS Acquisition,,,,103100,0,103100,,,,,,,,,,
Sinclair Oil Corporation,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,,,,163740,0,163740,,,,,,,,,,
Alcoa Wenatchee Works - Malaga,2017,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Malaga,Chelan,Ecology: Industrial Section,0,0,0,0,0,0,0,0,0,Facility curtailed.,1,"(47.3567, -120.1273)",POINT (-120.12730000000002 47.3567)
Shell Puget Sound Refinery - Anacortes,2015,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Shell Petroleum Inc.,Anacortes,Skagit,Northwest Clean Air Agency,1946151,0,1935309,6480,4362,0,0,0,0,,4,"(48.470931, -122.559161)",POINT (-122.559161 48.470931)
Shell Puget Sound Refinery - Anacortes,2013,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Shell Petroleum Inc.,Anacortes,Skagit,Northwest Clean Air Agency,2003779,0,1990670,7531,5579,0,0,0,0,,5,"(48.470931, -122.559161)",POINT (-122.559161 48.470931)
Avista Corporation - WA State DOE Reporting - statewide,2013,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221121,Electric Bulk Power Transmission and Control,Avista Corp.,,,,16127,0,18,15181,0,0,0,928,0,,1,,
